x_m,y_m,theta_rad
1,1,0.800714476241527
1.03480969988405,1.03589268440758,0.828285707030668
1.0696193997681,1.07178536881517,0.855856937819808
1.10442909965215,1.10767805322275,0.883428168608948
1.1392387995362,1.14357073763034,0.910999399398088
1.17404849942025,1.17946342203792,0.938570630187228
1.2088581993043,1.2153561064455,0.966141860976369
1.24366789918834,1.25124879085309,0.993713091765509
1.27847759907239,1.28714147526067,1.02128432255465
1.31328729895644,1.32303415966826,1.04885555334379
1.34809699884049,1.35892684407584,1.07642678413293
1.37255391351281,1.40238711822052,1.09959168399692
1.39618839656337,1.44644856634621,1.12240654222336
1.41982287961394,1.49051001447189,1.1452214004498
1.4434573626645,1.53457146259758,1.16803625867624
1.46709184571506,1.57863291072327,1.19085111690268
1.49072632876563,1.62269435884896,1.21366597512912
1.51436081181619,1.66675580697464,1.23648083335556
1.53799529486675,1.71081725510033,1.259295691582
1.56162977791732,1.75487870322602,1.28211054980844
1.58526426096788,1.79894015135171,1.30492540803487
1.60502135453641,1.84451282016137,1.32063469630026
1.61743714907338,1.89294677566798,1.32289057367786
1.62985294361035,1.94138073117458,1.32514645105545
1.64226873814732,1.98981468668119,1.32740232843305
1.65468453268429,2.03824864218779,1.32965820581065
1.66710032722126,2.0866825976944,1.33191408318825
1.67951612175823,2.135116553201,1.33416996056584
1.6919319162952,2.18355050870761,1.33642583794344
1.70434771083216,2.23198446421421,1.33868171532104
1.71676350536913,2.28041841972082,1.34093759269864
1.7291792999061,2.32885237522742,1.34319347007624
1.74159509444307,2.37728633073403,1.34544934745383
1.75288433940313,2.42599361929489,1.3280654543443
1.76404533104104,2.47473202576924,1.30844564915154
1.77520632267895,2.52347043224359,1.28882584395879
1.78636731431685,2.57220883871793,1.26920603876604
1.79752830595476,2.62094724519228,1.24958623357328
1.80868929759267,2.66968565166662,1.22996642838053
1.81985028923057,2.71842405814097,1.21034662318778
1.83101128086848,2.76716246461532,1.19072681799503
1.84217227250638,2.81590087108966,1.17110701280227
1.85333326414429,2.86463927756401,1.15148720760952
1.8644942557822,2.91337768403835,1.13186740241677
1.88308379366469,2.95953186522634,1.10052434205979
1.90458183018601,3.00467424471311,1.06459127572251
1.92607986670733,3.04981662419989,1.02865820938523
1.94757790322865,3.09495900368666,0.992725143047946
1.96907593974997,3.14010138317344,0.956792076710663
1.99057397627129,3.18524376266021,0.920859010373381
2.01207201279261,3.23038614214699,0.884925944036098
2.03357004931393,3.27552852163376,0.848992877698815
2.05506808583525,3.32067090112054,0.813059811361533
2.07656612235657,3.36581328060732,0.77712674502425
2.1079944706103,3.40379471043989,0.748521567925217
2.14403848782223,3.43844768755912,0.72332243806795
2.18008250503416,3.47310066467836,0.698123308210684
2.21612652224609,3.50775364179759,0.672924178353417
2.25217053945802,3.54240661891683,0.64772504849615
2.28821455666995,3.57705959603606,0.622525918638883
2.32425857388188,3.6117125731553,0.597326788781616
2.3603025910938,3.64636555027453,0.572127658924349
2.39634660830573,3.68101852739377,0.546928529067083
2.43239062551766,3.715671504513,0.521729399209816
2.47563861004331,3.74071994315065,0.516961400019075
2.51899592309241,3.7656226218251,0.512503466830971
2.5623532361415,3.79052530049954,0.508045533642868
2.6057105491906,3.81542797917399,0.503587600454764
2.64906786223969,3.84033065784844,0.499129667266661
2.69242517528879,3.86523333652288,0.494671734078558
2.73578248833789,3.89013601519733,0.490213800890454
2.77913980138698,3.91503869387177,0.485755867702351
2.82249711443608,3.93994137254622,0.481297934514248
2.86585442748517,3.96484405122067,0.476840001326144
2.91007923962965,3.98815366936606,0.482251000917576
2.9545222694458,4.01106255630457,0.490144510916672
2.99896529926194,4.03397144324308,0.498038020915768
3.04340832907808,4.05688033018159,0.505931530914865
3.08785135889423,4.0797892171201,0.513825040913961
3.13229438871037,4.10269810405861,0.521718550913057
3.17673741852651,4.12560699099711,0.529612060912153
3.22118044834266,4.14851587793562,0.537505570911249
3.2656234781588,4.17142476487413,0.545399080910345
3.31006650797495,4.19433365181264,0.553292590909441
3.35351014333787,4.2190018613989,0.562142908109884
3.39594560188884,4.24544485399747,0.571958440627252
3.43838106043982,4.27188784659605,0.58177397314462
3.48081651899079,4.29833083919463,0.591589505661988
3.52325197754177,4.32477383179321,0.601405038179357
3.56568743609274,4.35121682439179,0.611220570696725
3.60812289464372,4.37765981699037,0.621036103214093
3.65055835319469,4.40410280958894,0.630851635731461
3.69299381174567,4.43054580218752,0.64066716824883
3.73542927029664,4.4569887947861,0.650482700766198
3.77645381016345,4.48546650148995,0.654858484942996
3.81609583115055,4.51593796637201,0.65390401524611
3.85573785213764,4.54640943125407,0.652949545549224
3.89537987312474,4.57688089613613,0.651995075852339
3.93502189411184,4.60735236101819,0.651040606155453
3.97466391509893,4.63782382590025,0.650086136458567
4.01430593608602,4.66829529078231,0.649131666761682
4.05394795707312,4.69876675566437,0.648177197064796
4.09358997806022,4.72923822054643,0.647222727367911
4.13323199904731,4.7597096854285,0.646268257671025
4.1730995677942,4.78988489418751,0.629903053336058
4.21302202463696,4.81998800764173,0.609787575084997
4.25294448147972,4.85009112109595,0.589672096833936
4.29286693832248,4.88019423455017,0.569556618582875
4.33278939516525,4.91029734800439,0.549441140331813
4.37271185200801,4.94040046145862,0.529325662080752
4.41263430885077,4.97050357491284,0.509210183829691
4.45255676569353,5.00060668836706,0.48909470557863
4.4924792225363,5.03070980182128,0.468979227327569
4.53420978920509,5.0578713161196,0.445078315512989
4.57909665876818,5.07989786693505,0.414569411893521
4.62398352833128,5.1019244177505,0.384060508274053
4.66887039789438,5.12395096856595,0.353551604654584
